Hostname,Group,Subject,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,1,2,NA,NA,NA,NA,6743,Start,1,ITI,501.958,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,28200,Start,1,Start,600000,T,NA,NA,F,NA,<space>,21452,F,<space>
helix,1,2,NA,NA,NA,NA,28798,Pretrain,1,ITI,552.067,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,30330,Pretrain,1,Z+RXN?,2000,T,No+Z2,2000,F,1,y+n,1516,T,y
helix,1,2,NA,NA,NA,NA,32919,Pretrain,2,ITI,575.846,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,34163,Pretrain,2,W+RXN?,2000,T,No+W2,2000,F,1,y+n,1233,T,y
helix,1,2,NA,NA,NA,NA,37122,Pretrain,3,ITI,944.954,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,38769,Pretrain,3,W+Z+RXN?,2000,T,No+W2+Z2,2000,F,1,y+n,1635,T,y
helix,1,2,NA,NA,NA,NA,41392,Pretrain,4,ITI,600.203,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,43399,Pretrain,4,X+Y+RXN?,2000,T,Yes+X2+Y2,NA,F,1,y+n,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,43486,Pretrain,5,ITI,909.555,T,NA,NA,F,NA,NA,59,F,y
helix,1,2,NA,NA,NA,NA,46144,Pretrain,5,X+RXN?,2000,T,Yes+X2,2000,F,1,y+n,1794,T,y
helix,1,2,NA,NA,NA,NA,49058,Pretrain,6,ITI,900.836,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,50658,Pretrain,6,Y+RXN?,2000,T,Yes+Y2,2000,F,1,y+n,1588,T,y
helix,1,2,NA,NA,NA,NA,53397,Train1,1,ITI,702.046,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,55405,Train1,1,G+RXN?,2000,T,No+G2,NA,F,1,y+n,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,56017,Train1,2,ITI,594.446,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,57350,Train1,2,G+H+RXN?,2000,T,No+G2+H2,2000,F,1,y+n,1317,T,y
helix,1,2,NA,NA,NA,NA,60243,Train1,3,ITI,868.986,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,61263,Train1,3,A+RXN?,2000,T,Yes+A2,2000,F,1,y+n,1008,T,n
helix,1,2,NA,NA,NA,NA,63895,Train1,4,ITI,615.004,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,65195,Train1,4,L+RXN?,2000,T,No+L2,2000,F,1,y+n,1289,T,y
helix,1,2,NA,NA,NA,NA,67729,Train1,5,ITI,517.003,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,68272,Train1,5,E+RXN?,2000,T,Yes+E2,2000,F,1,y+n,530,T,y
helix,1,2,NA,NA,NA,NA,70985,Train1,6,ITI,698.17,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,72807,Train1,6,I+J+RXN?,2000,T,Yes+I2+J2,2000,F,1,y+n,1806,T,n
helix,1,2,NA,NA,NA,NA,75699,Train2,1,ITI,849.28,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,76492,Train2,1,A+B+RXN?,2000,T,Yes+A2+B2,2000,F,1,y+n,778,T,n
helix,1,2,NA,NA,NA,NA,79210,Train2,2,ITI,699.187,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,79554,Train2,2,G+H+RXN?,2000,T,No+G2+H2,2000,F,1,y+n,325,T,y
helix,1,2,NA,NA,NA,NA,82326,Train2,3,ITI,746.188,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,82849,Train2,3,F+RXN?,2000,T,Yes+F2,2000,F,1,y+n,509,T,y
helix,1,2,NA,NA,NA,NA,85713,Train2,4,ITI,850.319,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,86143,Train2,4,L+RXN?,2000,T,No+L2,2000,F,1,y+n,417,T,y
helix,1,2,NA,NA,NA,NA,88659,Train2,5,ITI,503.475,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,89092,Train2,5,K+L+RXN?,2000,T,No+K2+L2,2000,F,1,y+n,420,T,y
helix,1,2,NA,NA,NA,NA,90352,Train2,5,K+L+RXN?,2000,T,No+K2+L2,2000,T,1,y+n,1688,T,n
