Hostname,Group,Subject,Sex,Age,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,1,1,NA,NA,1822,Start,1,ITI,670.565,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,3282,Start,1,Start,600000,T,NA,NA,F,NA,<space>,1458,F,<space>
helix,1,1,NA,NA,5074,Test,1,ITI,1780.5,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,5295,Test,1,Circle,1000,T,NA,NA,F,NA,<space>,219,F,<space>
helix,1,1,NA,NA,7131,Test,2,ITI,1828.82,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,7348,Test,2,Circle,1000,T,NA,NA,F,NA,<space>,214,F,<space>
helix,1,1,NA,NA,9002,Test,3,ITI,1646.07,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,9209,Test,3,Circle,1000,T,NA,NA,F,NA,<space>,204,F,<space>
helix,1,1,NA,NA,10294,Test,4,ITI,1078.37,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,10535,Test,4,Circle,1000,T,NA,NA,F,NA,<space>,238,F,<space>
helix,1,1,NA,NA,12256,Test,5,ITI,1714.09,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,12467,Test,5,Circle,1000,T,NA,NA,F,NA,<space>,209,F,<space>
helix,1,1,NA,NA,12863,Test,6,ITI,388.879,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,13208,Test,6,Circle,1000,T,NA,NA,F,NA,<space>,343,F,<space>
helix,1,1,NA,NA,13622,Test,7,ITI,407.163,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,14151,Test,7,Circle,1000,T,NA,NA,F,NA,<space>,527,F,<space>
helix,1,1,NA,NA,16148,Test,8,ITI,1990.16,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,16403,Test,8,Circle,1000,T,NA,NA,F,NA,<space>,253,F,<space>
helix,1,1,NA,NA,17924,Test,9,ITI,1514.91,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,18145,Test,9,Circle,1000,T,NA,NA,F,NA,<space>,219,F,<space>
helix,1,1,NA,NA,18451,Test,10,ITI,299.017,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,18863,Test,10,Circle,1000,T,NA,NA,F,NA,<space>,410,F,<space>
helix,1,1,NA,NA,19789,End,1,ITI,914.921,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,1,NA,NA,21190,End,1,End,600000,T,NA,NA,F,NA,<space>,1399,F,q
