Hostname,Group,Subject,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,1,9,NA,NA,NA,NA,2785,Start,1,ITI,650.841,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,3463,Start,1,Start,600000,T,NA,NA,F,NA,<space>,675,F,<space>
helix,1,9,NA,NA,NA,NA,4376,Test,1,ITI,877.574,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,4716,Test,1,Gray,1000,T,NA,NA,F,NA,<space>,337,F,<space>
helix,1,9,NA,NA,NA,NA,5504,Test,2,ITI,769.667,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,5738,Test,2,Red,1000,T,NA,NA,F,NA,<space>,231,F,<space>
helix,1,9,NA,NA,NA,NA,6271,Test,3,ITI,514.868,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,6495,Test,3,Gray,1000,T,NA,NA,F,NA,<space>,220,F,<space>
helix,1,9,NA,NA,NA,NA,7806,Test,4,ITI,1295.48,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,8021,Test,4,Red,1000,T,NA,NA,F,NA,<space>,212,F,<space>
helix,1,9,NA,NA,NA,NA,9430,Test,5,ITI,1393.27,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,9642,Test,5,Red,1000,T,NA,NA,F,NA,<space>,208,F,<space>
helix,1,9,NA,NA,NA,NA,10176,Test,6,ITI,519.033,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,10415,Test,6,White,1000,T,NA,NA,F,NA,<space>,236,F,<space>
helix,1,9,NA,NA,NA,NA,11065,Test,7,ITI,633,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,11292,Test,7,Gray,1000,T,NA,NA,F,NA,<space>,224,F,<space>
helix,1,9,NA,NA,NA,NA,13082,Test,8,ITI,1774.45,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,13297,Test,8,Red,1000,T,NA,NA,F,NA,<space>,212,F,<space>
helix,1,9,NA,NA,NA,NA,14095,Test,9,ITI,782.332,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,14311,Test,9,White,1000,T,NA,NA,F,NA,<space>,212,F,<space>
helix,1,9,NA,NA,NA,NA,15163,Test,10,ITI,1605.06,T,NA,NA,F,NA,NA,832,F,<space>
helix,1,9,NA,NA,NA,NA,16145,Test,10,Gray,1000,T,NA,NA,F,NA,<space>,205,F,<space>
helix,1,9,NA,NA,NA,NA,17378,Test,11,ITI,1213.21,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,17600,Test,11,Red,1000,T,NA,NA,F,NA,<space>,217,F,<space>
helix,1,9,NA,NA,NA,NA,18246,Test,12,ITI,627.717,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,18461,Test,12,White,1000,T,NA,NA,F,NA,<space>,212,F,<space>
helix,1,9,NA,NA,NA,NA,19047,Test,13,ITI,570.526,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,19265,Test,13,White,1000,T,NA,NA,F,NA,<space>,215,F,<space>
helix,1,9,NA,NA,NA,NA,20924,Test,14,ITI,1642.92,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,21182,Test,14,White,1000,T,NA,NA,F,NA,<space>,255,F,<space>
helix,1,9,NA,NA,NA,NA,21927,Test,15,ITI,729.271,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,22148,Test,15,Gray,1000,T,NA,NA,F,NA,<space>,217,F,<space>
helix,1,9,NA,NA,NA,NA,23735,End,1,ITI,1561.43,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,9,NA,NA,NA,NA,26218,End,1,End,600000,T,NA,NA,F,NA,<space>,NA,F,q
